Name,Autor,Review,Review qntd,Format,Price
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,4.8 out of 5 stars,"1,808",Paperback,$17.50
"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps",Valliappa Lakshmanan,4.6 out of 5 stars,66,Paperback,$35.49
AI and Machine Learning for Coders: A Programmer's Guide to Artificial Intelligence,Laurence Moroney,4.8 out of 5 stars,29,Paperback,$45.59
Machine Learning Engineering,Andriy Burkov,4.7 out of 5 stars,113,Paperback,$35.49
Machine Learning: 4 Books in 1: Basic Concepts + Artificial Intelligence + Python Programming + Python Machine Learning. A Comprehensive Guide to Build Intelligent Systems Using Python Libraries,Ethem Mining,4.3 out of 5 stars,106,Kindle,$0.00
Introduction to Machine Learning with Python: A Guide for Data Scientists,Sarah Guido,4.5 out of 5 stars,343,Paperback,
Machine Learning in Finance: From Theory to Practice,Matthew F. Dixon,4.6 out of 5 stars,66,Hardcover,
Machine Learning For Absolute Beginners: A Plain English Introduction (Second Edition) (Machine Learning From Scratch Book 1),,4.4 out of 5 stars,678,Kindle,$0.00
Pattern Recognition and Machine Learning (Information Science and Statistics),Christopher M. Bishop,4.6 out of 5 stars,436,Hardcover,$34.77
Machine Learning: 4 Books in 1: A Complete Overview for Beginners to Master the Basics of Python Programming and Understand How to Build Artificial Intelligence Through Data Science,,3.3 out of 5 stars,7,Audible Audiobook,$0.00
The Hundred-Page Machine Learning Book,Andriy Burkov,4.6 out of 5 stars,626,Paperback,$37.95
"Fundamentals of Machine Learning for Predictive Data Analytics, second edition: Algorithms, Worked Examples, and Case Studies",John D. Kelleher,4.7 out of 5 stars,19,Hardcover,$32.65
Machine Learning: An Applied Mathematics Introduction,Paul Wilmott,4.4 out of 5 stars,127,Paperback,$19.99
Understanding Machine Learning (From Theory to Algorithms),Shai Shalev-Shwartz,4.3 out of 5 stars,127,Hardcover,
Building Machine Learning Powered Applications: Going from Idea to Product,Emmanuel Ameisen,4.4 out of 5 stars,89,Paperback,$44.78
Machine Learning: A Probabilistic Perspective (Adaptive Computation and Machine Learning series),,4.4 out of 5 stars,251,Hardcover,
Mathematics for Machine Learning,Marc Peter Deisenroth,4.7 out of 5 stars,226,Paperback,$46.99
The Alignment Problem: Machine Learning and Human Values,",",4.5 out of 5 stars,47,Audible Audiobook,$0.00
Deep Learning (Adaptive Computation and Machine Learning series),,4.3 out of 5 stars,"1,318",Hardcover,$39.00
"Machine Learning with TensorFlow, Second Edition",,3.0 out of 5 stars,2,Paperback,$49.99
Data Mining: Practical Machine Learning Tools and Techniques (Morgan Kaufmann Series in Data Management Systems),,4.2 out of 5 stars,78,Paperback,$24.04
Machine Learning: 2 Books in 1: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications,Samuel Hack,4.4 out of 5 stars,8,Kindle,$0.00
Machine Learning - A Journey to Deep Learning: With Exercises and Answers,,,,Hardcover,$168.00
"Introduction to Machine Learning, fourth edition (Adaptive Computation and Machine Learning series)",Ethem Alpaydin,4.8 out of 5 stars,34,Hardcover,
Machine Learning Gift For An AI Programmer T-Shirt,,,,,$13.99
Data Scientist Machine Learning Neural Network T-Shirt,,3.0 out of 5 stars,,,$17.99
Neural Network Machine Learning T-Shirt,,5.0 out of 5 stars,,,$15.99
Robotics Machine Learning AI Evolution Robot Pullover Hoodie,,5.0 out of 5 stars,,,$31.99
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction, Second Edition (Springer Series in Statistics)",,4.5 out of 5 stars,673,Hardcover,$72.11
Machine Learning: A Bayesian and Optimization Perspective,Sergios Theodoridis,4.6 out of 5 stars,5,Hardcover,$36.76
Semantic Modeling for Data: Avoiding Pitfalls and Breaking Dilemmas,Panos Alexopoulos,4.6 out of 5 stars,11,Paperback,$58.53
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",Steven L. Brunton,4.7 out of 5 stars,111,Hardcover,$61.48
Programming Machine Learning: From Coding to Deep Learning,Paolo Perrotta,4.8 out of 5 stars,21,Paperback,$44.09
Linear Algebra and Optimization for Machine Learning: A Textbook,Charu C. Aggarwal,4.5 out of 5 stars,38,Hardcover,
Building Machine Learning Pipelines: Automating Model Life Cycles with TensorFlow,Hannes Hapke,4.3 out of 5 stars,25,Paperback,$35.00
"2021 Python for Machine Learning & Data Science Masterclass: Learn about Data Science and Machine Learning with Python! Including Numpy, Pandas, Matplotlib, Scikit-Learn and more!",,,,Kindle Edition,$0.00
Deep Learning with Python,,4.5 out of 5 stars,834,Paperback,$19.50
Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD,Jeremy Howard,4.8 out of 5 stars,268,Paperback,$45.47
"Generative Deep Learning: Teaching Machines to Paint, Write, Compose, and Play",David Foster,4.5 out of 5 stars,131,Paperback,$53.24
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3rd Edition",Sebastian Raschka,4.5 out of 5 stars,221,Paperback,$35.99
Introduction to Cloud Computing,From,5.0 out of 5 stars,2,Prime Video,$0.99
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,Hariom Tatsat,4.7 out of 5 stars,11,Paperback,$52.25
"Machine Learning: The Most Complete Guide for Beginners to Mastering Deep Learning, Artificial Intelligence and Data Science with Python. This Book ... and Data Science. (Data Science Mastery)",Andrew Park,4.4 out of 5 stars,19,Paperback,$19.95
Machine Learning for Factor Investing: R Version (Chapman and Hall/CRC Financial Mathematics Series),,4.0 out of 5 stars,9,Paperback,$63.32
"Reinforcement Learning, second edition: An Introduction (Adaptive Computation and Machine Learning series)",,4.5 out of 5 stars,262,Hardcover,$27.78
Machine Learning Under a Modern Optimization Lens,,5.0 out of 5 stars,6,Hardcover,$110.00
Machine Learning: New and Collected Stories,",",4.5 out of 5 stars,167,Audible Audiobook,$0.00
Introducing MLOps: How to Scale Machine Learning in the Enterprise,,3.4 out of 5 stars,8,Paperback,$35.29
"Math for Programmers: 3D graphics, machine learning, and simulations with Python",Paul Orland,5.0 out of 5 stars,9,Paperback,$40.84
Machine Learning For Dummies,John Paul Mueller,3.9 out of 5 stars,3,Paperback,$25.27
"Statistics, Data Mining, and Machine Learning in Astronomy: A Practical Python Guide for the Analysis of Survey Data, Updated Edition (Princeton Series in Modern Observational Astronomy)",,5.0 out of 5 stars,9,Hardcover,$79.68
Pattern Recognition and Machine Learning (Information Science and Statistics),Christopher M. Bishop,4.0 out of 5 stars,69,Paperback,$65.20
Funny Robotic Machine Learning AI Evolution Robot Premium T-Shirt,,,,,$19.99
Funny Robotic Machine Learning AI Evolution Robot T-Shirt,,,,,$17.99
Robotics Machine Learning AI Evolution Robot Long Sleeve T-Shirt,,5.0 out of 5 stars,,,$24.99
